Rule	Head Coverage	PCA Confidence	Positive Examples	PCA Body size	Functional variable
?a  q2  ?b   => ?a  q1  ?b	1	1	143	143	-1
?a  q1  ?b   => ?a  q2  ?b	0.476666667	1	143	143	-1
?b  v  ?a   => ?a  v  ?b	1	1	250	250	-1
?b  r  ?a   => ?a  v  ?b	0.304	0.439306358	76	173	-1
?a  r  ?b   => ?a  v  ?b	0.304	0.395833333	76	192	-1
?b  v  ?a   => ?a  r  ?b	0.103401361	0.684684685	76	111	-2
?b  r  ?a   => ?a  r  ?b	0.408163265	0.408163265	300	735	-2
?a  v  ?b   => ?a  r  ?b	0.103401361	0.684684685	76	111	-2
?b  u  ?a   => ?a  u  ?b	1	1	79800	79800	-1
?b  r  ?h  ?a  s  ?h   => ?a  s  ?b	0.296666667	0.421800948	89	211	-1
?a  s  ?h  ?b  v  ?h   => ?a  s  ?b	0.236666667	1	71	71	-1
?a  r  ?h  ?h  s  ?b   => ?a  s  ?b	0.266666667	0.720720721	80	111	-1
?h  s  ?b  ?a  v  ?h   => ?a  s  ?b	0.25	1	75	75	-1
?g  r  ?a  ?g  s  ?b   => ?a  s  ?b	0.266666667	0.720720721	80	111	-1
?g  s  ?b  ?g  v  ?a   => ?a  s  ?b	0.25	1	75	75	-1
?g  r  ?b  ?a  s  ?g   => ?a  s  ?b	0.296666667	0.419811321	89	212	-1
?a  s  ?h  ?h  v  ?b   => ?a  s  ?b	0.236666667	1	71	71	-1
?a  q2  ?h  ?b  r  ?h   => ?a  q1  ?b	0.328671329	0.47	47	100	-1
?a  q1  ?h  ?b  r  ?h   => ?a  q1  ?b	0.328671329	0.47	47	100	-1
?a  q2  ?h  ?b  v  ?h   => ?a  q1  ?b	0.27972028	1	40	40	-1
?a  q1  ?h  ?b  v  ?h   => ?a  q1  ?b	0.27972028	1	40	40	-1
?a  q1  ?h  ?h  r  ?b   => ?a  q1  ?b	0.328671329	0.423423423	47	111	-1
?a  q1  ?h  ?h  v  ?b   => ?a  q1  ?b	0.27972028	1	40	40	-1
?h  q1  ?b  ?a  r  ?h   => ?a  q1  ?b	0.265734266	0.863636364	38	44	-1
?h  q1  ?b  ?a  v  ?h   => ?a  q1  ?b	0.20979021	1	30	30	-1
?h  q2  ?b  ?a  r  ?h   => ?a  q1  ?b	0.265734266	0.666666667	38	57	-1
?h  q2  ?b  ?a  v  ?h   => ?a  q1  ?b	0.20979021	1	30	30	-1
?a  q2  ?g  ?g  r  ?b   => ?a  q1  ?b	0.328671329	0.423423423	47	111	-1
?a  q2  ?g  ?g  v  ?b   => ?a  q1  ?b	0.27972028	1	40	40	-1
?g  q2  ?b  ?g  r  ?a   => ?a  q1  ?b	0.265734266	0.775510204	38	49	-1
?g  q1  ?b  ?g  v  ?a   => ?a  q1  ?b	0.20979021	1	30	30	-1
?g  q2  ?b  ?g  v  ?a   => ?a  q1  ?b	0.20979021	1	30	30	-1
?g  q1  ?b  ?g  r  ?a   => ?a  q1  ?b	0.265734266	0.863636364	38	44	-1
?a  q1  ?h  ?b  v  ?h   => ?a  q2  ?b	0.133333333	1	40	40	-1
